WORKSHOP ID 🔒,Data Element🔒 ,Source 🔒 ,Form type 🔒 ,Requirement Level🔒 ,[FINAL] FHIR Resource,[FINAL] FHIR Element,Note,Flags 🔒,[FINAL] Cardinality,[FINAL] FHIR Data Type,L2 Context / Remarks 🔒,Definition,Mapping Comments / Notes
174,Activity of the Patient at the time of the incident - Others,ONEISS,String,Optional,Observation,"""Observation.code = """"Activity of Patient at the time of Incident""""
Observation.valueCodeableConcept.text",,,0..1,string,"In ONEISS hence retain, no other supporting references for must support",,
175,Blood Alcohol Concentration,Workshop Discussion,Integer/Decimal,Optional,Observation,"Observation.code
Observation.valueQuantity",,,0..1,Quantity,,,
176,Nature of Injury/ies: Multiple Injury/ies?,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""Nature of Injury/ies: Multiple Injury/ies?""
Observation.valueBoolean",,MUST SUPPORT,0..1,boolean,,"First, check the appropriate box to indicate whether it is a case of multiple injuries or not.",
177,Nature of Injury/ies: Specific Injury/ies - Abrasion,ONEISS,Boolean,Must Support,Observation,"Observation.code = """"Abrasion""""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
178,Nature of Injury/ies: Specific Injury/ies - Abrasion Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
179,Nature of Injury/ies: Specific Injury/ies - Abrasion Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
180,Nature of Injury/ies: Specific Injury/ies - Avulsion,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""Avulsion""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
181,Nature of Injury/ies: Specific Injury/ies - Avulsion Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
182,Nature of Injury/ies: Specific Injury/ies - Avulsion Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
183,Nature of Injury/ies: Specific Injury/ies - Burn,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - General Burn""
Observation.valueBoolean","In the context of where in the form this is being answered, Observation has been chosen as a staging for the final deision of the condition",MUST SUPPORT,0..1,boolean,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
184,Nature of Injury/ies: Specific Injury/ies - Burn 1st Degree,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Burn 1st degree""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
185,Nature of Injury/ies: Specific Injury/ies - Burn 1st Degree Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
186,Nature of Injury/ies: Specific Injury/ies - Burn 1st Degree Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
187,Nature of Injury/ies: Specific Injury/ies - Burn 2nd Degree,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Burn 2nd degree""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
188,Nature of Injury/ies: Specific Injury/ies - Burn 2nd Degree Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
189,Nature of Injury/ies: Specific Injury/ies - Burn 2nd Degree Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
190,Nature of Injury/ies: Specific Injury/ies - Burn 3rd Degree,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Burn 3rd degree""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
191,Nature of Injury/ies: Specific Injury/ies - Burn 3rd Degree Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
192,Nature of Injury/ies: Specific Injury/ies - Burn 3rd Degree Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
193,Nature of Injury/ies: Specific Injury/ies - Burn 4th Degree,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Burn 4th degree""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
194,Nature of Injury/ies: Specific Injury/ies - Burn 4th Degree Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
195,Nature of Injury/ies: Specific Injury/ies - Burn 4th Degree Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
196,Nature of Injury/ies: Specific Injury/ies - Concussion,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - Concussion""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
197,Nature of Injury/ies: Specific Injury/ies - Concussion Site,ONEISS,String,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
198,Nature of Injury/ies: Specific Injury/ies - Concussion Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
199,Nature of Injury/ies: Specific Injury/ies - Contusion,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - Contussion""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
200,Nature of Injury/ies: Specific Injury/ies - Contusion Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
201,Nature of Injury/ies: Specific Injury/ies - Contusion Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
202,Nature of Injury/ies: Specific Injury/ies - Fracture,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - Frature - if present""
Observation.valueBoolean",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
203,Nature of Injury/ies: Specific Injury/ies - Fracture Closed Type,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Frature - Closed""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
204,Nature of Injury/ies: Specific Injury/ies - Fracture Closed Type Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
205,Nature of Injury/ies: Specific Injury/ies - Fracture Closed Type Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
206,Nature of Injury/ies: Specific Injury/ies - Fracture Open Type,ONEISS,Boolean,Optional,Observation,"Observation.code = ""SCT - Frature - Open""
Observation.valueBoolean
Observation.bodySite
Observation.note",,,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
207,Nature of Injury/ies: Specific Injury/ies - Fracture Open Type Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
208,Nature of Injury/ies: Specific Injury/ies - Fracture Open Type Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
209,"Nature of Injury/ies: Specific Injury/ies - Open Wound
ex. hacking, gunshot, stabbing, animal (dog, cat, rat, snake, etc) bites, human bites, insect bites, punctured wound laceration, etc",ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - Open wound""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,"Printed examples are in element name; handwritten note on image: ""comment: optional for RS"". concurred",Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
210,Nature of Injury/ies: Specific Injury/ies - Open Wound Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
211,Nature of Injury/ies: Specific Injury/ies - Open Wound Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
212,Nature of Injury/ies: Specific Injury/ies - Traumatic Amputation,ONEISS,Boolean,Must Support,Observation,"Observation.code = ""SCT - Amputation""
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
213,Nature of Injury/ies: Specific Injury/ies - Traumatic Amputation Site,ONEISS,CodableConcept,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
214,Nature of Injury/ies: Specific Injury/ies - Traumatic Amputation Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
215,Nature of Injury/ies: Specific Injury/ies - Others,ONEISS,Boolean,Must Support,Observation,"Observation.code[CodeableConcept.text]
Observation.valueBoolean
Observation.bodySite
Observation.note",,MUST SUPPORT,0..1,CodeableConcept.text,,Check the appropriate box (es) for the specific injury (ies) sustained by the patient.,
216,Nature of Injury/ies: Specific Injury/ies - Others Site,ONEISS,String,Optional,Observation,↑ as above,,,0..1,CodeableConcept,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
217,Nature of Injury/ies: Specific Injury/ies - Others Other Details,ONEISS,String,Optional,Observation,↑ as above,,,0..1,Annotation.text,,"For each type of injury selected or checked, the affected body location or site as well as other important details of the injury must also be written on the space provided opposite each type of injury.",
218,Collision type,Dot-vote Priorities,CodableConcept,Must Support,Observation,"Observation.code[""SCT/LOINC/SILPH - Collision Type""]
Observation.valueCodeableConcept [see definition for choices]",,MUST SUPPORT,0..1,CodeableConcept,"Handwritten note on image: ""what are the examples? must support for post-crash investigation.""
For Post Crash investigation","Angle Impact, Head On, Hit and Run, Hit Object, Hit Parked Vehicle, Hit Pedestrian, Multiple Collision, No Collision Stated, Rear End, Self-Accident, Side Swipe

Source: https://ncts.upd.edu.ph/tssp/wp-content/uploads/2024/01/TSSP2023-02-Ballarta.pdf",Source: https://ncts.upd.edu.ph/tssp/wp-content/uploads/2024/01/TSSP2023-02-Ballarta.pdf
219,Presence of traffic investigator,Dot-vote Priorities,Boolean,Optional,Observation,"Observation.code ""SILPH - Presence of Traffic Investigator""
Observation.valueBoolean",,,0..1,CodeableConcept,,,
220,Detection type of crash,Not from Source,Not from Source,Removed,,Observation.code,,,,CodeableConcept,"Handwritten notes: ""examples? can be merged w/ collision type if similar; must support for post-crash investigation."" (for removal)

Rationale for removal: Intended to capture they car collision type already established in the previous element",Can be merged with Collision type.,
221,Party at fault,Dot-vote Priorities,String,Must Support,DocumentReference,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1 (so system can anticipate if preview is possible. Ex. if non-PDF, but no rendering library, this will just be a link direct to the file)","See 115 ""Cause of Road Crash Incident""
this is a post crash investigation data not Healthcare Resource

Still to find a way to capture or categorize vs Cause of Road Crash Incident",MUST SUPPORT,0..1,DocumentReference,"Handwritten note: ""must support for post-crash investigation.""
For Post Crash investigation",,
222,Long term outcome of patient,Dot-vote Priorities,CodableConcept,Optional,Condition,"Condition.code - if diagnosis

if PWD status
Observation.code",,,0..1,CodeableConcept,,"No long-term disability
With long-term disability",
223,Psychosocial support/condition,Dot-vote Priorities,Boolean,Optional,Procedure,"if Diagnosis
Condition.code = ""SCT attach Psych diagnosis"" - not element
----
Procedure.code = ""SCT Procedure | Psychosocial procedure""
Procedure.status = Yes (In Progress | Completed) if No (Not done)
Procedure.subject = referencePatient","Consider DiagnositcReport for future iterations to capture labs, and procedures done",,0..1,CodeableConcept,,,
224,Documentation of traffic incident management,Dot-vote Priorities,String,Must Support,DocumentReference,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1 (so system can anticipate if preview is possible. Ex. if non-PDF, but no rendering library, this will just be a link direct to the file)",,MUST SUPPORT,0..1,Attachment,"Handwritten note: ""to determine who managed the incident.""
For Post Crash investigation",,
225,Detailed road network shape files,Dot-vote Priorities,URL,Optional,DocumentReference,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1",,,0..1,Attachment,,,
226,Vehicle condition,Dot-vote Priorities,CodableConcept,Optional,DocumentReference,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1",,,0..1,CodeableConcept,,,
227,"CCTV video, reconstruction of what happened",Dot-vote Priorities,Boolean,Must Support,Observation,"Observation.code ""CCTV video, reconstruction of what happened""
Observation.valueBoolean
Observation.encounter(reference Encounter) | derivedFrom DocumentReference(URL)  ",,MUST SUPPORT,0..1,boolean,"Handwritten note: ""Boolean""
For Post Crash investigation",,
228,"🏴Victims Involved - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Observation.valueBoolean,,,,boolean,"Handwritten note: ""Boolean""
For Post Crash investigation",Check the appropriate box to indicate whether the victim/patient was alone or with others at the time of the accident.,
229,"🏴Victims Involved, Number of other victims involved - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Observation.valueInteger,,,,integer,"Handwritten note: ""Integer""
For Post Crash investigation","If “with others” is checked, specify the number of other victims involved",
230,Other risk factors at the time of the incident,ONEISS,CodableConcept,Must Support,Observation,"Observation.code = ""Other Risk Factors""
Observation.valueCodeableConcept [SCT - smoking, etc]",,MUST SUPPORT,0..1,CodeableConcept,,Check the appropriate box (es) for other risk factors at the time of the incident. (Multiple answers allowed),
231,"Other risk factors at the time of the incident - Others
(e.g. suspected under the influence of substance used)",ONEISS,String,Must Support,Observation,"Observation.code = ""Other Risk Factors""
Observation.valueCodeableConcept [CodeableConcept.text]",,MUST SUPPORT,0..1,CodeableConcept.text,,"If ""Others"" was ticked, specify on the blank provided.",
232,Safety,ONEISS,CodableConcept,Must Support,Observation,"Observation.code = ""Safety""
Observation.valueCodeableConcept [ONEISS]",,MUST SUPPORT,0..1,CodeableConcept,,"Check the appropriate box (es) for the safety accessories in the vehicle used by the victim / patient when the accident occurred.
(Multiple answers allowed)",
233,Safety - Others,ONEISS,String,Must Support,Observation,"Observation.code = ""Safety""
Observation.valueCodeableConcept [CodeableConcept.text]",,MUST SUPPORT,0..1,CodeableConcept.text,,"If ""Others"" was ticked, specify on the blank provided.",
---------- NOTHING FOLLOWS ----------,,,,,,,,,,,,,
